time,currency,rate
2026-06-18 19:27:22.284080,JEP,1.324069409
2026-06-18 19:27:22.284080,ISK,0.0079564882
2026-06-18 19:27:22.284080,IRR,7.2735194e-07
2026-06-18 19:27:22.284080,IQD,0.0007630545
2026-06-18 19:27:22.284080,INR,0.0106147815
2026-06-18 19:27:22.284080,IMP,1.324069409
2026-06-18 19:27:22.284080,ILS,0.3407508416
2026-06-18 19:27:22.284080,IDR,5.6012e-05
2026-06-18 19:27:22.284080,HUF,0.0032609604
2026-06-18 19:27:22.284080,HTG,0.0076386676
2026-06-18 19:27:22.284080,HRK,0.152281208
2026-06-18 19:27:22.284080,HNL,0.037380891
2026-06-18 19:27:22.284080,HKD,0.1275924922
2026-06-18 19:27:22.284080,GYD,0.0047788012
2026-06-18 19:27:22.284080,GTQ,0.1311853279
2026-06-18 19:27:22.284080,GNF,0.0001141013
2026-06-18 19:27:22.284080,GMD,0.0135848537
2026-06-18 19:27:22.284080,GIP,1.324069409
2026-06-18 19:27:22.284080,GHS,0.0892998749
2026-06-18 19:27:22.284080,GGP,1.324069409
2026-06-18 19:27:22.284080,GEL,0.3779568419
2026-06-18 19:27:22.284080,GBP,1.324069409
2026-06-18 19:27:22.284080,FKP,1.324069409
2026-06-18 19:27:22.284080,FJD,0.446642886
2026-06-18 19:27:22.284080,EUR,1.1473627617
2026-06-18 19:27:22.284080,ETB,0.0063010547
2026-06-18 19:27:22.284080,ERN,0.0666666667
2026-06-18 19:27:22.284080,EGP,0.0200349519
2026-06-18 19:27:22.284080,EEK,0.0733296581
2026-06-18 19:27:22.284080,DZD,0.0074903575
2026-06-18 19:27:22.284080,DOP,0.0170615397
2026-06-18 19:27:22.284080,DKK,0.1534977741
2026-06-18 19:27:22.284080,DJF,0.0056152654
2026-06-18 19:27:22.284080,CZK,0.0474626058
2026-06-18 19:27:22.284080,CVE,0.0104050309
2026-06-18 19:27:22.284080,CUP,0.04166666666667
2026-06-18 19:27:22.284080,CUC,1.0
2026-06-18 19:27:22.284080,CRC,0.00220383
2026-06-18 19:27:22.284080,COP,0.0002875955
2026-06-18 19:27:22.284080,CNY,0.1478564983
2026-06-18 19:27:22.284080,CNH,0.1476504779
2026-06-18 19:27:22.284080,CLP,0.0011178315
2026-06-18 19:27:22.284080,CHF,1.2451060511
2026-06-18 19:27:22.284080,CDF,0.0004337578
2026-06-18 19:27:22.284080,CAD,0.708035719
2026-06-18 19:27:22.284080,BZD,0.4964267793
2026-06-18 19:27:22.284080,BYR,3.6561e-05
2026-06-18 19:27:22.284080,BYN,0.36363636363636
2026-06-18 19:27:22.284080,BWP,0.0741770533
2026-06-18 19:27:22.284080,BTN,0.0106147815
2026-06-18 19:27:22.284080,BTC,63792.1905600316
2026-06-18 19:27:22.284080,BSD,1.0
2026-06-18 19:27:22.284080,BRL,0.1937799972
2026-06-18 19:27:22.284080,BOB,0.1445897794
2026-06-18 19:27:22.284080,BND,0.7755000758
2026-06-18 19:27:22.284080,BMD,1.0
2026-06-18 19:27:22.284080,BIF,0.0003353633
2026-06-18 19:27:22.284080,BHD,2.6595744681
2026-06-18 19:27:22.284080,BGN,0.5866372648
2026-06-18 19:27:22.284080,BDT,0.0081447689
2026-06-18 19:27:22.284080,BBD,0.5
2026-06-18 19:27:22.284080,BAM,0.5866372648
2026-06-18 19:27:22.284080,AZN,0.588238781
2026-06-18 19:27:22.284080,AWG,0.5586592179
2026-06-18 19:27:22.284080,AUD,0.7023990837
2026-06-18 19:27:22.284080,ARS,0.0006896189
2026-06-18 19:27:22.284080,AOA,0.0010915978
2026-06-18 19:27:22.284080,ANG,0.554916996
